Id,Make,Model,Variant,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Gears,Type
895,Ford,Figo,Ambiente 1.5 Tdci,BS IV,40 litres,Diesel,Hatchback,5,Manual
896,Ford,Figo,Titanium 1.2 Ti-Vct,BS IV,42 litres,Petrol,Hatchback,5,Manual
897,Ford,Figo,Titanium1.5 Tdci,BS IV,40 litres,Diesel,Hatchback,5,Manual
898,Ford,Figo,Titanium Blu 1.2 Ti-Vct,BS IV,42 litres,Petrol,Hatchback,5,Manual
899,Ford,Figo,Titanium Blu 1.5 Tdci,BS IV,40 litres,Diesel,Hatchback,5,Manual
900,Maruti Suzuki,Baleno,1.3 Delta,BS IV,37 litres,Diesel,Hatchback,5,Manual
901,Maruti Suzuki,Baleno,1.3 Alpha,BS IV,37 litres,Diesel,Hatchback,5,Manual
902,Maruti Suzuki,Baleno,1.3 Sigma,BS IV,37 litres,Diesel,Hatchback,5,Manual
903,Maruti Suzuki,Baleno,1.3 Zeta,BS IV,37 litres,Diesel,Hatchback,5,Manual
904,Maruti Suzuki,Baleno,1.2 Alpha,BS 6,37 litres,Petrol,Hatchback,5,Manual
905,Maruti Suzuki,Baleno,1.2 Alpha Cvt,BS 6,37 litres,Petrol,Hatchback,5,Automatic
906,Maruti Suzuki,Baleno,1.2 Delta,BS 6,37 litres,Petrol,Hatchback,5,Manual
907,Maruti Suzuki,Baleno,1.2 Delta Cvt,BS 6,37 litres,Petrol,Hatchback,5,Automatic
908,Maruti Suzuki,Baleno,1.2 Sigma,BS 6,37 litres,Petrol,Hatchback,5,Manual
909,Maruti Suzuki,Baleno,1.2 Zeta,BS 6,37 litres,Petrol,Hatchback,5,Manual
910,Maruti Suzuki,Baleno,1.2 Delta Dualjet,BS 6,37 litres,Petrol,Hatchback,5,Manual
911,Maruti Suzuki,Baleno,1.2 Zeta Dualjet,BS 6,37 litres,Petrol,Hatchback,5,Manual
912,Maruti Suzuki,Baleno,1.2 Zeta Cvt,BS 6,37 litres,Petrol,Hatchback,5,Automatic
913,Hyundai,Grand I10,1.2 Kappa Vtvt Magna,BS IV,43 litres,Petrol,Hatchback,5,Manual
914,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz,BS IV,43 litres,Petrol,Hatchback,5,Manual
915,Hyundai,Grand I10,1.2 Kappa Vtvt Magna At,BS IV,43 litres,Petrol,Hatchback,5,Automatic
916,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz At,BS IV,43 litres,Petrol,Hatchback,5,Automatic
917,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz Dual Tone,BS IV,43 litres,Petrol,Hatchback,5,Manual
918,Hyundai,Grand I10,1.2 Kappa Vtvt Magna Cng,BS IV,43 litres,CNG,Hatchback,5,Manual
919,Fiat,Linea Classic,1.3 Multijet,BS IV,45 litres,Diesel,Sedan,5,Manual
920,Fiat,Linea Classic,1.4,BS IV,45 litres,Petrol,Sedan,5,Manual
921,Fiat,Linea Classic,Plus 1.3 Multijet,BS IV,45 litres,Diesel,Sedan,5,Manual
922,Nissan,Sunny,Xe Petrol,BS IV,41 litres,Petrol,Sedan,5,Manual
923,Nissan,Sunny,Xl Petrol,BS IV,41 litres,Petrol,Sedan,5,Manual
924,Nissan,Sunny,Xl Diesel,BS IV,41 litres,Diesel,Sedan,5,Manual
925,Nissan,Sunny,Xv Diesel,BS IV,41 litres,Diesel,Sedan,5,Manual
926,Nissan,Sunny,Xe Diesel,BS IV,41 litres,Diesel,Sedan,5,Manual
927,Nissan,Sunny,Xv Cvt,BS IV,41 litres,Petrol,Sedan,5,Automatic
928,Nissan,Sunny,Special Edition Diesel,BS IV,41 litres,Diesel,Sedan,5,Manual
929,Maruti Suzuki,Ertiga,Lxi,BS 6,45 litres,Petrol,MPV,5,Manual
930,Maruti Suzuki,Ertiga,Zxi,BS 6,45 litres,Petrol,MPV,5,Manual
931,Maruti Suzuki,Ertiga,Vxi At,BS 6,45 litres,Petrol,MUV,4,Automatic
932,Maruti Suzuki,Ertiga,Zxi Plus,BS 6,45 litres,Petrol,MUV,5,Manual
933,Maruti Suzuki,Ertiga,Vxi,BS 6,45 litres,Petrol,MUV,5,Manual
934,Maruti Suzuki,Ertiga,Zxi At,BS 6,45 litres,Petrol,MPV,4,Automatic
935,Maruti Suzuki,Ertiga,1.5L Vdi,BS IV,45 litres,Diesel,MPV,6,Manual
936,Maruti Suzuki,Ertiga,1.5L Zdi,BS IV,45 litres,Diesel,MPV,6,Manual
937,Maruti Suzuki,Ertiga,1.5L Zdi Plus,BS IV,45 litres,Diesel,MPV,6,Manual
938,Maruti Suzuki,Ertiga,Vxi Cng (Cng +,BS 6,45 litres,CNG + Petrol,MUV,5,Manual
939,Maruti Suzuki,Baleno Rs,Rs 1.0,BS IV,37 litres,Petrol,Hatchback,5,Manual
940,Honda,Wr-V,Vx Diesel,BS IV,40 litres,Diesel,SUV,7,Manual
941,Honda,Wr-V,Vx Petrol,BS IV,40 litres,Petrol,SUV,7,Manual
942,Honda,Wr-V,S Diesel,BS IV,40 litres,Diesel,SUV,7,Manual
943,Honda,Wr-V,S Petrol,BS IV,40 litres,Petrol,SUV,7,Manual
944,Honda,Wr-V,Edge Plus Edition Diesel,BS IV,40 litres,Diesel,SUV,7,Manual
945,Honda,Wr-V,Edge Plus Edition Petrol,BS IV,40 litres,Petrol,SUV,7,Manual
946,Honda,Wr-V,Exclusive Edition Diesel,BS IV,40 litres,Diesel,SUV,7,Manual
947,Honda,Wr-V,Exclusive Edition Petrol,BS IV,40 litres,Petrol,SUV,7,Manual
948,Honda,Wr-V,V Diesel,BS IV,40 litres,Diesel,SUV,7,Manual
949,Mahindra,Tuv300,T4 Plus,BS IV,60 litres,Diesel,SUV,5,Manual
950,Mahindra,Tuv300,T6 Plus,BS IV,60 litres,Diesel,SUV,5,Manual
951,Mahindra,Tuv300,T8,BS IV,60 litres,Diesel,SUV,5,Manual
952,Mahindra,Tuv300,T10,BS IV,60 litres,Diesel,SUV,5,Manual
953,Mahindra,Tuv300,T10 (O),BS IV,60 litres,Diesel,SUV,5,Manual
954,Mahindra,Tuv300,T10 Dual Tone,BS IV,60 litres,Diesel,SUV,5,Manual
955,Mahindra,Tuv300,T10 (O) Dual Tone,BS IV,60 litres,Diesel,SUV,5,Manual
956,Maruti Suzuki,S-Cross,1.3L Sigma,BS IV,48 litres,Diesel,Crossover,5,Manual
957,Maruti Suzuki,S-Cross,1.3L Delta,BS IV,48 litres,Diesel,Crossover,5,Manual
958,Maruti Suzuki,S-Cross,1.3L Zeta,BS IV,48 litres,Diesel,Crossover,5,Manual
959,Maruti Suzuki,S-Cross,1.3L Alpha,BS IV,48 litres,Diesel,Crossover,5,Manual
960,Renault,Captur,Rxe Petrol,BS IV,50 litres,Petrol,SUV,5,Manual
961,Renault,Captur,Rxe Diesel,BS IV,50 litres,Diesel,SUV,6,Manual
962,Renault,Captur,Platine Diesel Dual Tone,BS IV,50 litres,Diesel,SUV,6,Manual
963,Renault,Captur,Platine Petrol Dual Tone,BS IV,50 litres,Petrol,SUV,5,Manual
964,Mahindra,Xylo,D2 Bs-Iv,BS IV,55 litres,Diesel,SUV,5,Manual
965,Mahindra,Xylo,D4 Bs-Iv,BS IV,55 litres,Diesel,SUV,5,Manual
966,Mahindra,Xylo,H4 Bs-Iv,BS IV,55 litres,Diesel,SUV,5,Manual
967,Mahindra,Xylo,H4 Abs Bs-Iv,BS IV,55 litres,Diesel,SUV,5,Manual
968,Mahindra,Xylo,H8 Abs Airbags Bs-Iv,BS IV,55 litres,Diesel,SUV,5,Manual
969,Kia,Seltos,Hte 1.5,BS 6,60 litres,Petrol,SUV,6,Manual
970,Kia,Seltos,Htk 1.5,BS 6,60 litres,Petrol,SUV,6,Manual
971,Kia,Seltos,Htk Plus 1.5,BS 6,60 litres,Petrol,SUV,6,Manual
972,Kia,Seltos,Htx 1.5,BS 6,60 litres,Petrol,SUV,6,Manual
973,Kia,Seltos,Htx Cvt 1.5,BS 6,60 litres,Petrol,SUV,6,Automatic
974,Kia,Seltos,Hte 1.5 Diesel,BS 6,60 litres,Diesel,SUV,6,Manual
975,Kia,Seltos,Htk 1.5 Diesel,BS 6,60 litres,Diesel,SUV,6,Manual
976,Kia,Seltos,Htk Plus 1.5 Diesel,BS 6,60 litres,Diesel,SUV,6,Manual
977,Kia,Seltos,Htk Plus At 1.5 Diesel,BS 6,60 litres,Diesel,SUV,6,Automatic
978,Kia,Seltos,Htx Plus 1.5 Diesel,BS 6,60 litres,Diesel,SUV,6,Manual
979,Kia,Seltos,Htx Plus At 1.5 Diesel,BS 6,60 litres,Diesel,SUV,6,Automatic
980,Kia,Seltos,Gtk 1.4,BS 6,50 litres,Petrol,SUV,6,Manual
981,Kia,Seltos,Gtx 1.4,BS 6,50 litres,Petrol,SUV,6,Manual
982,Kia,Seltos,Gtx At 1.4,BS 6,50 litres,Petrol,SUV,7,DCT
983,Kia,Seltos,Gtx Plus 1.4,BS 6,50 litres,Petrol,SUV,6,Manual
984,Kia,Seltos,Htx 1.5 Diesel,BS 6,60 litres,Diesel,SUV,6,Manual
985,Nissan,Terrano,Xe D 85Ps,BS IV,50 litres,Diesel,SUV,5,Manual
986,Nissan,Terrano,Xv D Premium 110 Ps Amt,BS IV,50 litres,Diesel,SUV,6,Automatic
987,Nissan,Terrano,Xl (P),BS IV,50 litres,Petrol,SUV,5,Manual
988,Nissan,Terrano,Xl D(O),BS IV,50 litres,Diesel,SUV,5,Manual
989,Nissan,Terrano,Xv D Premium 110 Ps,BS IV,50 litres,Diesel,SUV,6,Manual
990,Nissan,Terrano,Sport Edition,BS IV,50 litres,Diesel,SUV,5,Manual
991,Tata,Safari Storme,2.2 Lx 4X2,BS IV,63 litres,Diesel,SUV,5,Manual
992,Tata,Safari Storme,2.2 Ex 4X2,BS IV,63 litres,Diesel,SUV,5,Manual
993,Tata,Safari Storme,2.2 Vx 4X2 Varicor 400,BS IV,63 litres,Diesel,SUV,6,Manual
994,Tata,Safari Storme,2.2 Vx 4X4 Varicor 400,BS IV,63 litres,Diesel,SUV,6,Manual
995,Mg,Hector,1.5L Style,BS IV,,Petrol,SUV,6,Manual
996,Mg,Hector,2.0L Style,BS IV,,Diesel,SUV,6,Manual
997,Mg,Hector,2.0L Super,BS IV,,Diesel,SUV,6,Manual
998,Mg,Hector,2.0L Smart,BS IV,,Diesel,SUV,6,Manual
999,Mg,Hector,2.0L Sharp,BS IV,,Diesel,SUV,6,Manual
1000,Mg,Hector,1.5L Super,BS IV,,Petrol,SUV,6,Manual
1001,Mg,Hector,1.5L Super Hybrid,BS IV,,Hybrid,SUV,6,Manual
1002,Mg,Hector,1.5L Sharp Hybrid,BS IV,,Hybrid,SUV,6,Manual
1003,Mg,Hector,1.5L Smart Hybrid,BS IV,,Hybrid,SUV,6,Manual
1004,Mg,Hector,1.5L Smart Dct,BS IV,,Petrol,SUV,6,DCT
1005,Mg,Hector,1.5L Sharp Dct,BS IV,,Petrol,SUV,6,DCT
1009,Hyundai,Elantra,S,BS 6,50 litres,Petrol,Sedan,6,Manual
1010,Hyundai,Elantra,Sx,BS 6,50 litres,Petrol,Sedan,6,Manual
1011,Hyundai,Elantra,Sx At,BS 6,50 litres,Petrol,Sedan,6,AMT
1012,Hyundai,Elantra,Sx(O) At,BS 6,50 litres,Petrol,Sedan,6,AMT
1013,Hyundai,Tucson,2Wd Mt Diesel,BS IV,62 litres,Diesel,SUV,5,Manual
1014,Hyundai,Tucson,2Wd Mt Petrol,BS IV,62 litres,Petrol,SUV,5,Manual
1015,Hyundai,Tucson,2Wd At Gl Diesel,BS IV,62 litres,Diesel,SUV,5,Automatic
1016,Hyundai,Tucson,2Wd At Gl Petrol,BS IV,62 litres,Petrol,SUV,5,Automatic
1017,Hyundai,Tucson,4Wd At Gls Diesel,BS IV,62 litres,Diesel,SUV,5,Automatic
1018,Hyundai,Tucson,2Wd At Gls Petrol,BS IV,62 litres,Petrol,SUV,5,Automatic
1019,Hyundai,Tucson,2Wd At Gl(O) Petrol,BS IV,62 litres,Petrol,SUV,5,Automatic
1020,Hyundai,Tucson,2Wd At Gl(O) Diesel,BS IV,62 litres,Diesel,SUV,5,Automatic
1021,Volkswagen,Passat,2.0 Tdi Comfortline,BS IV,55 litres,Diesel,Sedan,7,Automatic
1022,Volkswagen,Passat,2.0 Tdi Highline,BS IV,66 litres,Diesel,Sedan,7,Automatic
1023,Volkswagen,Passat,2.0 Tdi Comfortline Connect,BS IV,55 litres,Diesel,Sedan,7,Automatic
1024,Volkswagen,Passat,2.0 Tdi Highline Connect,BS IV,66 litres,Diesel,Sedan,7,Automatic
1025,,Mercedes-Benz A-Class,180,BS IV,50 litres,Petrol,Hatchback,7,Automatic
1026,,Mercedes-Benz A-Class,200D,BS IV,50 litres,Diesel,Hatchback,7,Automatic
1027,Volvo,V40 Cross Country,D3,BS IV,60 litres,Diesel,Hatchback,6,Automatic
1028,Volvo,V40 Cross Country,T4,BS IV,50 litres,Petrol,Hatchback,6,Automatic
1029,Mini,Countryman,Cooper S,BS IV,47 litres,Petrol,Hatchback,8,Automatic
1030,Mini,Countryman,Cooper Sd,BS IV,47 litres,Diesel,Hatchback,8,Automatic
1031,Mini,Countryman,Cooper S Jcw Inspired,BS IV,47 litres,Petrol,Hatchback,8,Automatic
1032,Mini,Countryman,Black Edition,BS IV,47 litres,Petrol,Hatchback,8,Automatic
1033,,Mercedes-Benz C-Class,C 220D Prime,BS 6,66 litres,Diesel,Sedan,9,Automatic
1034,,Mercedes-Benz C-Class,C 220D Progressive,BS 6,66 litres,Diesel,Sedan,9,Automatic
1035,,Mercedes-Benz C-Class,C 300D Amg Line,BS 6,66 litres,Diesel,Sedan,9,Automatic
1036,,Mercedes-Benz C-Class,C 43 Amg,BS 6,66 litres,Petrol,Coupe,7,Automatic
1037,,Mercedes-Benz C-Class,C 200 Prime,BS 6,66 litres,Petrol,Sedan,9,Automatic
1038,,Mercedes-Benz C-Class,C 200 Progressive,BS 6,66 litres,Petrol,Sedan,9,Automatic
1039,Toyota,Prius,Z8,BS IV,43 litres,Hybrid,Sedan,5,Automatic
1045,Volvo,V90 Cross Country,D5 Inscription,BS IV,60 litres,Diesel,SUV,8,Automatic
1046,Audi,A5 Cabriolet,2.0 Tdi,BS IV,58 litres,Diesel,Convertible,7,Automatic
1047,,Mercedes-Benz Gle,300D 4Matic,BS 6,93 litres,Diesel,SUV,9,Automatic
1048,,Mercedes-Benz Gle,400D 4Matic Hip Hop Edition,BS 6,93 litres,Diesel,SUV,9,Automatic
1049,,Mercedes-Benz Cls,300D,BS 6,,Diesel,Sedan,9,Automatic
1050,Bmw,X7,Xdrive 40I,BS 6,80 litres,Petrol,SUV,8,Automatic
1051,Bmw,X7,Xdrive30D Dpe Signature,BS 6,80 litres,Diesel,SUV,8,Automatic
1052,Bmw,M4,Coupe,BS IV,60 litres,Petrol,Coupe,7,Automatic
1053,Porsche,911,Carrera S,BS 6,64 litres,Petrol,Coupe,8,Automatic
1054,Porsche,911,Carrera S Cabriolet,BS 6,64 litres,Petrol,Convertible,8,Automatic
1055,Nissan,Gtr,3.8 V6,BS IV,74 litres,Petrol,Coupe,6,Automatic
1056,Aston Martin,Vantage,Coupe,BS IV,73 litres,Petrol,Coupe,8,Automatic
1057,Aston Martin,Rapide,Luxe,BS IV,90.5 litres,Petrol,Sedan,8,Automatic
1058,Ferrari,812 Superfast,Superfast,BS IV,92 litres,Petrol,Coupe,7,Automatic
1059,Maruti Suzuki,Alto 800 Tour,H1,BS IV,35 litres,Petrol,Hatchback,5,Manual
1060,Maruti Suzuki,Alto 800 Tour,H1 (O),BS IV,35 litres,Petrol,Hatchback,5,Manual
1061,Hyundai,Grand I10 Nios,Magna 1.2 Crdi,BS 6,37 litres,Diesel,Hatchback,5,Manual
1062,Hyundai,Grand I10 Nios,Era 1.2 Vtvt,BS 6,37 litres,Petrol,Hatchback,5,Manual
1063,Hyundai,Grand I10 Nios,Magna 1.2 Vtvt,BS 6,37 litres,Petrol,Hatchback,5,Manual
1064,Hyundai,Grand I10 Nios,Magna Amt 1.2 Vtvt,BS 6,37 litres,Petrol,Hatchback,5,Automatic
1065,Hyundai,Grand I10 Nios,Sportz 1.2 Vtvt,BS 6,37 litres,Petrol,Hatchback,5,Manual
1066,Hyundai,Grand I10 Nios,Sportz Amt 1.2 Vtvt,BS 6,37 litres,Petrol,Hatchback,5,Automatic
1067,Hyundai,Grand I10 Nios,Sportz Dual Tone 1.2 Vtvt,BS 6,37 litres,Petrol,Hatchback,5,Manual
1068,Hyundai,Grand I10 Nios,Asta 1.2 Vtvt,BS 6,37 litres,Petrol,Hatchback,5,Manual
1069,Hyundai,Grand I10 Nios,Sportz Amt 1.2 Crdi,BS 6,37 litres,Diesel,Hatchback,5,Automatic
1070,Hyundai,Grand I10 Nios,Asta 1.2 Crdi,BS 6,37 litres,Diesel,Hatchback,5,Manual
1071,Hyundai,Xcent,S 1.2,BS IV,43 litres,Petrol,Sedan,5,Manual
1072,Hyundai,Xcent,S At 1.2,BS IV,43 litres,Petrol,Sedan,4,Automatic
1073,Hyundai,Xcent,Sx 1.2,BS IV,43 litres,Petrol,Sedan,5,Manual
1074,Hyundai,Xcent,Sx 1.2 (O),BS IV,43 litres,Petrol,Sedan,5,Manual
1075,Hyundai,Xcent,S 1.2 Crdi,BS IV,43 litres,Diesel,Sedan,5,Manual
1076,Hyundai,Xcent,E,BS IV,43 litres,Petrol,Sedan,5,Manual
1077,Hyundai,Xcent,Sx 1.2 Crdi,BS IV,43 litres,Diesel,Sedan,5,Manual
1078,Hyundai,Xcent,Sx 1.2 Crdi (O),BS IV,43 litres,Diesel,Sedan,5,Manual
1079,Hyundai,Xcent,E Crdi,BS IV,43 litres,Diesel,Sedan,5,Manual
1080,Nissan,Micra,Xl (O) Cvt,BS IV,41 litres,Petrol,Hatchback,5,Automatic
1081,Nissan,Micra,Xv Cvt,BS IV,41 litres,Petrol,Hatchback,5,Automatic
1082,Nissan,Micra,Xld (O),BS IV,41 litres,Diesel,Hatchback,5,Manual
1083,Nissan,Micra,Xvd,BS IV,41 litres,Diesel,Hatchback,5,Manual
1084,Mahindra,Bolero,Zlx,BS IV,60 litres,Diesel,SUV,5,Manual
1085,Mahindra,Bolero,Slx,BS IV,60 litres,Diesel,SUV,5,Manual
1086,Mahindra,Bolero,Sle,BS IV,60 litres,Diesel,SUV,5,Manual
1087,Mahindra,Bolero,Ex,BS IV,60 litres,Diesel,SUV,5,Manual
1088,Mahindra,Bolero,Ex Non Ac,BS IV,60 litres,Diesel,SUV,5,Manual
1089,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,BS IV,43 litres,Diesel,Sedan,5,Manual
1090,Maruti Suzuki,Ciaz,1.3L Sigma Smart Hybrid,BS IV,43 litres,Diesel,Sedan,5,Manual
1091,Maruti Suzuki,Ciaz,1.3L Delta Smart Hybrid,BS IV,43 litres,Diesel,Sedan,5,Manual
1092,Maruti Suzuki,Ciaz,1.3L Zeta Smart Hybrid,BS IV,43 litres,Diesel,Sedan,5,Manual
1093,Maruti Suzuki,Ciaz,1.5L Sigma Smart Hybrid,BS 6,43 litres,Petrol,Sedan,5,Manual
1094,Maruti Suzuki,Ciaz,1.5L Delta Smart Hybrid,BS 6,43 litres,Petrol,Sedan,5,Manual
1095,Maruti Suzuki,Ciaz,1.5L Zeta Smart Hybrid,BS 6,43 litres,Petrol,Sedan,5,Manual
1096,Maruti Suzuki,Ciaz,1.5L Alpha Smart Hybrid,BS 6,43 litres,Petrol,Sedan,5,Manual
1097,Maruti Suzuki,Ciaz,1.5L Delta At Smart Hybrid,BS 6,43 litres,Petrol,Sedan,4,Automatic
1098,Maruti Suzuki,Ciaz,1.5L Zeta At Smart Hybrid,BS 6,43 litres,Petrol,Sedan,4,Automatic
1099,Maruti Suzuki,Ciaz,1.5L Alpha At Smart Hybrid,BS 6,43 litres,Petrol,Sedan,4,Automatic
